id,flight agent,price,departure,arrival,duration,booking url
"16574-2208010810--31915-0-9320-2208011200",ebfc,340.16 EUR,2022-08-01 08:10:00,2022-08-01 12:00:00,2.83,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/ebfc/1/16574.9320.2022-08-01/air/trava/flights?itinerary=flight|-31915|8162|16574|2022-08-01T08:10|9320|2022-08-01T12:00|170|-|-|-&carriers=-31915&operators=-31915&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=340.16&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJTUpLFmLmuKUixczxwkOhYf2c6WxGTAqMALdAo3gcAAAA|8793356155181043083|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13542-2208011940--31685-0-9320-2208012320",ebfc,221.01 EUR,2022-08-01 19:40:00,2022-08-01 23:20:00,2.67,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/ebfc/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-31685|6617|13542|2022-08-01T19:40|9320|2022-08-01T23:20|160|-|-|-&carriers=-31685&operators=-31685&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=221.01&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJTUpLFmLmuKUixczxwkOhYf2c6WxGTAqMALdAo3gcAAAA|4696583603381126355|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13542-2208010905--32222-1-9320-2208011705",lolt,465.32 EUR,2022-08-01 09:05:00,2022-08-01 17:05:00,7.00,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-32222|5771|13542|2022-08-01T09:05|9772|2022-08-01T12:20|135|-|-|-;flight|-32222|5191|9772|2022-08-01T15:25|9320|2022-08-01T17:05|100|-|-|-&carriers=-32222&operators=-31685;-31685&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=465.32&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|-6844597167751916359|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208011945--32480,-32221-1-9320-2208020840",lolt,601.74 EUR,2022-08-01 19:45:00,2022-08-02 08:40:00,11.92,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32480|7065|13554|2022-08-01T19:45|13870|2022-08-01T23:15|150|-|-|-;flight|-32221|3866|13870|2022-08-02T07:25|9320|2022-08-02T08:40|75|-|-|-&carriers=-32480,-32221&operators=-32222;-32221&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=601.74&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|-4266839733225524235|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208011810--32753-1-9320-2208021150",gtfr,722.99 EUR,2022-08-01 18:10:00,2022-08-02 11:50:00,16.67,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/gtfr/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32753|175|13554|2022-08-01T18:10|11154|2022-08-01T19:35|85|-|-|-;flight|-32753|582|11154|2022-08-02T07:40|9320|2022-08-02T11:50|190|-|-|-&carriers=-32753&operators=-32753;-32753&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=722.99&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJL0krEmLmuKUixczxwkOhYf2c6WxGTAqMAPzpHpkcAAAA|-1910361765251290233|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"13771-2208011210--32356-1-9320-2208012220",eapr,174.86 EUR,2022-08-01 12:10:00,2022-08-01 22:20:00,9.17,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/eapr/1/13771.9320.2022-08-01/air/airli/flights?itinerary=flight|-32356|13|13771|2022-08-01T12:10|11235|2022-08-01T13:30|80|-|-|-;flight|-32356|6901|11235|2022-08-01T18:00|9320|2022-08-01T22:20|200|-|-|-&carriers=-32356&operators=-32356;-32356&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=174.86&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJTSwoEmLmuKUixczxwkOhYf2c6WxGTAqMADn4fgEcAAAA|7520394736595492601|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:32&transfer_protection=protected&pqid=false"
"13542-2208010905--31685-1-9320-2208011705",vuel,348.98 EUR,2022-08-01 09:05:00,2022-08-01 17:05:00,7.00,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/vuel/1/13542.9320.2022-08-01/air/airli/flights?itinerary=flight|-31685|7831|13542|2022-08-01T09:05|9772|2022-08-01T12:20|135|MOWVYLB|M|Basic;flight|-31685|2121|9772|2022-08-01T15:25|9320|2022-08-01T17:05|100|FOWVYLB|F|Basic&carriers=-31685&operators=-31685;-31685&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=348.98&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mIpK03NEWLmeJYpxczxwkOhYf2c6WxGTAqMAFvdrtYcAAAA|4491430485086706070|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13554-2208011945--32222-1-9320-2208022055",lolt,336.77 EUR,2022-08-01 19:45:00,2022-08-02 20:55:00,24.17,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/lolt/1/13554.9320.2022-08-01/air/trava/flights?itinerary=flight|-32222|3179|13554|2022-08-01T19:45|13870|2022-08-01T23:15|150|-|-|-;flight|-32222|8950|13870|2022-08-02T19:40|9320|2022-08-02T20:55|75|-|-|-&carriers=-32222&operators=-32222;-32639&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=336.77&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mLJyc8pEWLmuKUixczxwkOhYf2c6WxGTAqMAHtqDQUcAAAA|-2546407845869983226|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=false"
"13542-2208012045--32013-1-9320-2208021035",skyp,376.0 EUR,2022-08-01 20:45:00,2022-08-02 10:35:00,12.83,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/skyp/1/13542.9320.2022-08-01/air/trava/flights?itinerary=flight|-32013|1311|13542|2022-08-01T20:45|15093|2022-08-01T23:50|125|-|-|-;flight|-32013|1800|15093|2022-08-02T06:30|9320|2022-08-02T10:35|245|-|-|-&carriers=-32013&operators=-32013;-32013&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=376.00&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mIpzq4sEGLmuKUixczxwkOhYf2c6WxGTAqMACYGqGkcAAAA|9169635728726892132|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&pqid=true"
"16574-2208011215--32356,-31915-1-9320-2208012100",gtfr,180.99 EUR,2022-08-01 12:15:00,2022-08-01 21:00:00,7.75,"https://skyscanner.com//transport_deeplink/4.0/MA/en-GB/EUR/gtfr/1/16574.9320.2022-08-01/air/trava/flights?itinerary=flight|-32356|239|16574|2022-08-01T12:15|11235|2022-08-01T13:35|80|-|-|-;flight|-31915|6652|11235|2022-08-01T16:45|9320|2022-08-01T21:00|195|-|-|-&carriers=-32356,-31915&operators=-32356;-31915&passengers=1&channel=website&cabin_class=economy&facilitated=false&fps_session_id=5637b307-9902-46e4-aa2c-4702a753f864&ticket_price=180.99&is_npt=false&is_multipart=false&client_id=skyscanner_website&request_id=fcedc591-f167-475d-bad8-789eb3fe47d8&q_ids=H4sIAAAAAAAAAOOS4mJJL0krEmLmuKUixczxwkOhYf2c6WxGTAqMAPzpHpkcAAAA|-1851365561462193022|V3&q_sources=JACQUARD&commercial_filters=false&q_datetime_utc=2022-07-27T04:13:00&transfer_protection=protected&pqid=true"
